RowId+30:30AA141:261:42AA141:261:54AA141:261:661:26,YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Response,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,Geolocation,ClassID,TopicID,QuestionID,ResponseID,LocationID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3,Report
BRFSS~2021~2021~9004~Q43~TOC11~AGE~RACE,2021,2021,WEST,West,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,31.6,31.6,,,28.8,34.4,,Age Group,Overall,Race/Ethnicity,Hispanic,,,,C01,TOC11,Q43,,9004,AGE,AGE_OVERALL,RACE,HIS,,,
BRFSS~2017~2017~9001~Q43~TOC11~AGE~OVERALL,2017,2017,NRE,Northeast,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,50.3,50.3,,,49.1,51.6,,Age Group,65 years or older,,,,,,C01,TOC11,Q43,,9001,AGE,65PLUS,OVERALL,OVERALL,,,
BRFSS~2019~2019~9002~Q02~TNC02~AGE~OVERALL,2019,2019,MDW,Midwest,BRFSS,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,,%,PRCTG,Percentage,14.3,14.3,,,13.8,14.8,,Age Group,Overall,,,,,,C02,TNC02,Q02,,9002,AGE,AGE_OVERALL,OVERALL,OVERALL,,,
BRFSS~2020~2020~59~Q43~TOC11~AGE~GENDER,2020,2020,US,"United States, DC & Territories",BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,55.5,55.5,,,54.5,56.4,,Age Group,65 years or older,Gender,Female,,,,C01,TOC11,Q43,,59,AGE,65PLUS,GENDER,FEMALE,,,
BRFSS~2020~2020~33~Q03~TMC01~AGE~GENDER,2020,2020,NH,New Hampshire,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,%,PRCTG,Percentage,15.2,15.2,,,12.8,18,,Age Group,50-64 years,Gender,Female,,,POINT (-71.50036091999965 43.65595011300047),C05,TMC01,Q03,,33,AGE,5064,GENDER,FEMALE,,,
BRFSS~2015~2015~9002~Q43~TOC11~AGE~RACE,2015,2015,MDW,Midwest,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,59.8,59.8,,,48.4,70.2,,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,,,,C01,TOC11,Q43,,9002,AGE,65PLUS,RACE,NAA,,,
BRFSS~2020~2020~59~Q35~TOC03~AGE~GENDER,2020,2020,US,"United States, DC & Territories",BRFSS,Overall Health,Recent activity limitations in past month,Mean number of days with activity limitations in the past month,,Number,MEAN,Mean,6.2,6.2,,,5.8,6.5,,Age Group,65 years or older,Gender,Male,,,,C01,TOC03,Q35,,59,AGE,65PLUS,GENDER,MALE,,,
BRFSS~2021~2021~9001~Q18~TSC08~AGE~OVERALL,2021,2021,NRE,Northeast,BRFSS,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,,%,PRCTG,Percentage,61,61,,,60.2,61.8,,Age Group,Overall,,,,,,C03,TSC08,Q18,,9001,AGE,AGE_OVERALL,OVERALL,OVERALL,,,
BRFSS~2021~2021~17~Q08~TOC01~AGE~GENDER,2021,2021,IL,Illinois,BRFSS,Overall Health,Physically unhealthy days (mean number of days),Physically unhealthy days (mean number of days in past month),,Number,MEAN,Mean,3.6,3.6,,,2.6,4.6,,Age Group,50-64 years,Gender,Male,,,POINT (-88.99771017799969 40.48501028300046),C01,TOC01,Q08,,17,AGE,5064,GENDER,MALE,,,
BRFSS~2020~2020~50~Q34~TOC09~AGE~OVERALL,2020,2020,VT,Vermont,BRFSS,Overall Health,Prevalence of sufficient sleep,Percentage of older adults getting sufficient sleep (>6 hours),,%,PRCTG,Percentage,69.1,69.1,,,66.4,71.6,,Age Group,50-64 years,,,,,POINT (-72.51764079099962 43.62538123900049),C01,TOC09,Q34,,50,AGE,5064,OVERALL,OVERALL,,,
