YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2010,2010,OR,Oregon,NVSS,Cardiovascular Disease,Mortality from heart failure,,,Number,30,30,,,,,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT (-120.15503132599969 44.56744942400047),,41,CVD,CVD1_4,NMBR,RACE,AIAN,,,,
2019,2019,AZ,Arizona,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,29.5,29.5,,,24.9,34.7,Gender,Female,,,,,POINT (-111.76381127699972 34.865970280000454),,4,ALC,ALC1_1,CRDPREV,GENDER,GENF,,,,
2019,2019,OH,Ohio,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,22.5,22.5,,,17,29.1,Gender,Male,,,,,POINT (-82.40426005599966 40.06021014100048),,39,ALC,ALC1_1,CRDPREV,GENDER,GENM,,,,
2019,2019,US,United States,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,13.9,13.9,,,10.4,18.4,Race/Ethnicity,"Asian, non-Hispanic",,,,,,,59,ALC,ALC1_1,CRDPREV,RACE,ASN,,,,
2015,2015,VI,Virgin Islands,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,,,-,No data available,,,Gender,Male,,,,,POINT (-64.896335 18.335765),,78,ALC,ALC1_1,CRDPREV,GENDER,GENM,,,,
2020,2020,AL,Alabama,PRAMS,Alcohol,Alcohol use before pregnancy,,%,Crude Prevalence,59.1,59.1,,,53.9,64,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-86.63186076199969 32.84057112200048),,1,ALC,ALC1_2,CRDPREV,RACE,WHT,,,,
2015,2015,DE,Delaware,PRAMS,Alcohol,Alcohol use before pregnancy,,%,Crude Prevalence,55.6,55.6,,,52.3,58.9,Overall,Overall,,,,,POINT (-75.57774116799965 39.008830667000495),,10,ALC,ALC1_2,CRDPREV,OVERALL,OVR,,,,
2019,2019,FL,Florida,PRAMS,Alcohol,Alcohol use before pregnancy,,%,Crude Prevalence,58.1,58.1,,,54.2,61.8,Overall,Overall,,,,,POINT (-81.92896053899966 28.932040377000476),,12,ALC,ALC1_2,CRDPREV,OVERALL,OVR,,,,
2018,2018,KS,Kansas,PRAMS,Alcohol,Alcohol use before pregnancy,,%,Crude Prevalence,62.6,62.6,,,58.5,66.6,Overall,Overall,,,,,POINT (-98.20078122699965 38.34774030000045),,20,ALC,ALC1_2,CRDPREV,OVERALL,OVR,,,,
2013,2013,MS,Mississippi,PRAMS,Alcohol,Alcohol use before pregnancy,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,POINT (-89.53803082499968 32.745510099000455),,28,ALC,ALC1_2,CRDPREV,OVERALL,OVR,,,,
